Date,GOES_class,Start_time,End_time,Instrument,Wavelength,dBIC_0v1,dBIC_0v2,dBIC_2v1,Detection,rchi2_m0,probability_m0,rchi2_m1,probability_m1,rchi2_m2,probability_m2,period,width,Flags
2011-03-09,M1.7,103501,112059,GOES,1-8A,30.82964,54.1354,-23.3057,No,1.02081811211,0.410718784354,0.937620532127,0.707341397948,0.889995909102,0.843415488604,28.1,0.25,[]
2011-03-09,M1.7,131700,140628,GOES,1-8A,74.82787,10.36709,64.46078,Yes,0.919087857317,0.774903853306,0.792921947713,0.981329217432,0.837562996949,0.944948585344,38.4,0.126566933588,[]
2011-03-09,X1.5,231300,232859,GOES,1-8A,6.409712,24.33553,-17.9258,No,1.55962689516,0.00409503793111,1.57056227952,0.00377728276298,1.2277382672,0.115034511919,15.6,0.25,"['B0', 'B1']"
2011-03-10,M1.1,223401,224858,GOES,1-8A,83.37196,68.06697,15.30499,Yes,1.41092167346,0.0247631419184,0.968801859799,0.539189772654,1.08540174779,0.310429572124,14.5,0.25,[]
2011-03-12,M1.3,43301,44758,GOES,1-8A,-8.86262,-1.32118,-7.54144,No,1.19778600957,0.151000112599,1.124141658,0.247893006677,1.12309312046,0.24907590664,,,[]
2011-03-14,M4.2,193001,195359,GOES,1-8A,179.9157,100.3613,79.5544,Yes,1.66242716416,0.000101397247071,0.930970404336,0.660507347553,1.33943544311,0.0191056376328,8.2,0.115701775984,['B0']
2011-03-15,M1.0,1800,2358,GOES,1-8A,12.2391,7.24842,4.990684,Yes,0.704062429095,0.835310070176,0.552871356689,0.947193037523,0.443159819065,0.986084029714,7.5,0.11742790571,['S']
2011-03-23,M1.4,20300,22358,GOES,1-8A,-9.27859,-3.86303,-5.41555,No,0.995950844174,0.488431728879,1.04821256078,0.364797429836,0.965519033265,0.563693583442,,,[]
2011-03-24,M1.0,120100,121058,GOES,1-8A,17.34903,8.660021,8.689016,Yes,1.28996746256,0.114094737113,1.03543240872,0.410481987449,1.20382437764,0.188231049435,11.8,0.110962661962,[]
2011-03-25,M1.0,230801,232958,GOES,1-8A,-6.30485,1.680919,-7.98577,No,1.02937909088,0.406551917129,1.04502988862,0.370042018626,0.992514332121,0.497694499538,,,[]
2011-04-15,M1.3,170201,172758,GOES,1-8A,42.9535,99.05276,-56.0992,No,1.22113954497,0.07101630114,1.02635485614,0.410023885625,0.893139240727,0.761569663232,16.9,0.25,[]
2011-04-22,M1.8,43500,51358,GOES,1-8A,53.95703,19.20851,34.74851,Yes,1.51651748582,6.90439025774e-05,1.1728796938,0.0782415835002,1.35456545664,0.00317142346376,41.4,0.25,"['B0', 'B2']"
2011-04-22,M1.2,154700,161057,GOES,1-8A,-8.68497,-1.25006,-7.4349,No,0.932273128274,0.658019167943,0.875280130738,0.789813411365,0.839929793099,0.85657011478,,,[]
2011-05-28,M1.1,210900,220059,GOES,1-8A,-6.57787,1.915457,-8.49333,No,0.941457060853,0.707932226619,0.930406708812,0.74485501065,0.91860014353,0.782267094924,,,[]
2011-05-29,M1.4,100800,110759,GOES,1-8A,78.22939,41.73785,36.49153,Yes,1.34520421845,0.000491386248931,1.18549507528,0.0313812961802,1.22191472097,0.013954760362,96.8,0.25,['B0']
2011-06-07,M2.5,61600,65858,GOES,1-8A,-5.2031,-1.55365,-3.64945,No,1.24783867867,0.0191240139194,1.20243250528,0.0430025543189,1.2462914856,0.0198343614578,,,[]
2011-06-14,M1.3,213601,220959,GOES,1-8A,7.048434,10.47956,-3.43113,No,1.22076432918,0.0479851657293,1.17136782216,0.0940966489512,1.12850327668,0.156109224707,23.9,0.166296459527,[]
2011-07-27,M1.1,154800,162158,GOES,1-8A,41.22899,30.80422,10.42476,Yes,0.977420532743,0.554284472333,0.85864031413,0.869184146902,0.851867197676,0.881555021487,39.7,0.25,[]
2011-07-30,M9.3,20400,21159,GOES,1-8A,9.356085,25.56361,-16.2075,No,1.52408387249,0.0356948373464,1.13890854942,0.279033434634,1.02244967822,0.431551903778,298.9,0.25,[]
2011-08-02,M1.4,51901,64758,GOES,1-8A,16.24356,10.70902,5.534539,Yes,1.01105870351,0.433831505756,0.97914112791,0.595356699647,0.97972846694,0.592457887056,28.8,0.25,[]
2011-08-03,M1.1,30801,35059,GOES,1-8A,78.97401,94.91133,-15.9373,No,1.04634650804,0.329370578421,0.835474292749,0.933591979053,0.817792482122,0.953707203718,17.1,0.25,[]
2011-08-03,M1.7,42901,43459,GOES,1-8A,83.2222,10.14888,73.07331,Yes,1.53449437224,0.0546346736997,0.357329929078,0.996565583033,1.83873802101,0.0112771635473,9.1,0.105291094682,['S']
2011-08-03,M6.0,131701,140959,GOES,1-8A,58.37062,8.724698,49.64593,Yes,1.26807901719,0.00683981883436,1.09369322937,0.177158691804,1.1889476692,0.0372075289772,50.3,0.215437387755,['B0']
2011-08-04,M9.3,34101,40358,GOES,1-8A,-6.03206,32.45644,-38.4885,No,1.09065860992,0.267562414834,1.01927614196,0.430550972613,0.9299958933,0.65904719786,,,[]
2011-08-08,M3.5,180000,181759,GOES,1-8A,-11.3599,12.17853,-23.5384,No,1.11658175839,0.242119178019,1.10366198848,0.265086032856,0.957107299674,0.574874033825,,,[]
2011-08-09,M2.5,31900,40758,GOES,1-8A,91.32101,45.24605,46.07496,Yes,1.48600120271,2.63868210127e-05,1.20092202484,0.0346540994308,1.44057634294,0.000106334022149,31.2,0.25,"['B0', 'B2']"
2011-08-09,X6.9,74800,80758,GOES,1-8A,21.039,20.85078,0.188225,Yes,0.986696725481,0.509969687566,0.987135103294,0.508632184945,0.921674078768,0.665257786103,17.5,0.0710673948207,[]
2011-09-04,M3.2,112100,114959,GOES,1-8A,32.91873,37.04544,-4.12671,No,1.0400382278,0.36965520027,0.916989697378,0.716278377098,0.913964470361,0.724364140354,15.2,0.25,[]
2011-09-05,M1.6,40801,43159,GOES,1-8A,-11.46,-9.3852,-2.07488,No,0.826548770883,0.878644573645,0.817679118666,0.890512911704,0.815175587353,0.894362906247,,,[]
2011-09-05,M1.2,72701,80558,GOES,1-8A,36.17355,15.53624,20.63731,Yes,1.75013975404,8.12365312448e-08,1.45914445323,0.000305177392998,1.65083092941,1.75887814861e-06,21.4,0.25,"['B0', 'B1', 'B2']"
2011-09-06,M5.3,13500,20458,GOES,1-8A,-6.4101,-1.70187,-4.70822,No,1.15702734938,0.125195201179,1.19236139675,0.0838583298903,1.11452330025,0.195155334657,,,[]
2011-09-06,X2.1,221200,222359,GOES,1-8A,-0.4331,6.591035,-7.02414,No,0.735037302004,0.90116272177,0.727101260204,0.906723723339,0.766422397286,0.86520760829,,,[]
2011-09-07,X1.8,223200,224359,GOES,1-8A,37.37298,19.77964,17.59333,Yes,1.97722584463,0.000135083503319,1.13199686935,0.25616238169,1.43611713131,0.032114987815,10.9,0.149563508399,['B0']
2011-09-08,M6.7,153200,155158,GOES,1-8A,10.56615,-5.53043,16.09658,Yes,0.875235061549,0.766974480301,0.767272985117,0.928237861735,0.831846859985,0.845030280231,18.9,0.211363780686,[]
2011-09-10,M1.1,71801,75558,GOES,1-8A,64.86552,35.83593,29.02958,Yes,1.65645340526,1.89049248189e-06,1.08071448276,0.244294645945,1.31429212016,0.00781029947305,32.2,0.25,"['B0', 'B2']"
2011-09-21,M1.8,120400,124459,GOES,1-8A,-0.90052,-4.82278,3.922264,No,1.01314798384,0.439709730733,0.977632577016,0.561833627785,0.990180302984,0.518493578243,,,[]
2011-09-22,M1.1,95301,100858,GOES,1-8A,1.094879,8.922409,-7.82753,No,1.28330623256,0.0722504271442,1.11776592727,0.252230266678,1.0766592124,0.32201339782,15.9,0.146960755774,[]
2011-09-22,X1.4,102900,114359,GOES,1-8A,-2.29037,-0.46138,-1.82898,No,5.48614338693,1.74200245112e-168,5.35449471088,1.19718858096e-161,4.98790760223,3.39131992059e-144,,,"['B0', 'B1', 'B2']"
2011-09-23,M1.6,14700,20958,GOES,1-8A,-9.86563,4.469197,-14.3348,No,0.846755518031,0.839770789867,0.811577097578,0.893444499603,0.771351928536,0.93945950693,,,[]
2011-09-23,M1.6,215400,223358,GOES,1-8A,47.59684,-0.21298,47.80982,Yes,1.4405926015,0.000395571772781,1.22832940721,0.0320352074011,1.54619551911,2.64979008052e-05,71.3,0.150959935974,"['B0', 'B2']"
2011-09-23,M1.9,234800,235957,GOES,1-8A,34.66846,3.071876,31.59658,Yes,1.78886298173,0.00109901547756,1.15461421162,0.226476143187,1.68004851659,0.00352881575407,11.9,0.05,"['B0', 'B2']"
2011-09-24,X1.9,92100,94758,GOES,1-8A,35.95534,45.03119,-9.07585,No,1.03441020468,0.387472286334,0.899422190839,0.751462468784,0.865934163025,0.824978450529,13.5,0.189878504803,[]
2011-09-24,M7.1,123301,140958,GOES,1-8A,33.67639,6.698176,26.97821,Yes,5.77379746233,1.92876974892e-235,5.60663420333,2.38279797154e-224,5.08581137694,6.51081073366e-192,141.7,0.152624468404,"['B0', 'B1', 'B2']"
2011-09-24,M1.7,163601,171458,GOES,1-8A,57.96242,10.9122,47.05022,Yes,0.986139399012,0.530973404037,0.834487722192,0.924472342739,0.960423010942,0.617001554174,34.6,0.188104627194,[]
2011-09-24,M3.1,171901,173058,GOES,1-8A,55.19258,40.3132,14.87938,Yes,1.67606679181,0.00351068398988,1.09976795374,0.302488930808,1.22133926875,0.152158531523,14.3,0.141413188374,['B0']
2011-09-24,M2.8,175900,182359,GOES,1-8A,-6.15897,-3.21838,-2.94059,No,0.860092482174,0.82682139963,0.771860691343,0.947050266697,0.808561741565,0.90826304523,,,[]
2011-09-24,M3.0,190900,194059,GOES,1-8A,-8.87739,-8.91612,0.038726,No,0.97410408659,0.56182061217,0.967066712621,0.582928531357,0.976907494278,0.553048844844,,,[]
2011-09-24,M5.8,202900,204159,GOES,1-8A,60.80843,51.84057,8.967856,Yes,0.935439654266,0.59900111505,0.465617389873,0.999284787398,0.568043773349,0.992247927513,11.7,0.25,[]
2011-09-24,M1.2,212300,213159,GOES,1-8A,43.85094,12.34271,31.50823,Yes,1.5102393746,0.0316133185598,1.24207511806,0.164750135026,1.3636211936,0.0830954331117,22.0,0.25,[]
2011-09-24,M1.0,234500,235957,GOES,1-8A,43.48406,12.42379,31.06027,Yes,1.07724500551,0.324178343231,0.784587666517,0.872905302356,1.06767588949,0.341921325355,23.6,0.223869717379,[]
2011-09-25,M4.4,22700,23658,GOES,1-8A,13.56976,8.975797,4.59397,Yes,0.873307670067,0.685282615493,0.653845684265,0.943383781798,0.734868043018,0.875631508873,19.9,0.25,[]
2011-09-25,M7.4,43100,50458,GOES,1-8A,-7.86325,-1.01535,-6.84789,No,2.12754166215,4.26035015548e-12,2.10441391751,1.06128355881e-11,2.04684595099,6.70776931898e-11,,,"['B0', 'B1', 'B2']"
2011-09-25,M3.1,84600,85159,GOES,1-8A,29.52834,30.20414,-0.67579,No,1.37866582854,0.114010980551,0.99894447451,0.459784192466,0.944350558932,0.531279648293,226.4,0.25,['S']
2011-09-25,M1.5,92501,95258,GOES,1-8A,53.09609,18.67213,34.42396,Yes,1.12068219303,0.190865211523,0.872836044061,0.815313566843,1.10249012574,0.225967943126,22.7,0.25,[]
2011-09-25,M3.7,152600,153759,GOES,1-8A,22.58361,-1.32942,23.91303,Yes,1.17796977392,0.196606057654,0.812823624422,0.802299356622,1.13670416919,0.249292541191,10.3,0.05,[]
2011-09-25,M2.2,165100,170859,GOES,1-8A,27.8489,8.675926,19.17298,Yes,1.30177232037,0.0512715846485,1.05420488012,0.359082547525,1.16960853222,0.165234226411,19.1,0.25,[]
2011-09-26,M4.0,50601,51258,GOES,1-8A,29.00808,33.32417,-4.31609,No,1.58825787132,0.0312534934902,1.04070936033,0.406923011254,1.24261535109,0.188766060055,10.2,0.25,[]
